ReviewID,DestinationID,UserID,Rating,ReviewText,Name_x,State,Type,Popularity,BestTimeToVisit,Name_y,Email,Preferences,Gender,NumberOfAdults,NumberOfChildren
1,178,327,2,Incredible monument!,Jaipur City,Rajasthan,City,8.544351694378236,Oct-Mar,Pooja,pooja@example.com,"City, Historical",Female,1,1
2,411,783,1,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.284126727805766,Nov-Feb,Karan,karan@example.com,"City, Historical",Male,1,1
3,927,12,2,A historical wonder,Goa Beaches,Goa,Beach,7.741214133839709,Nov-Mar,Anika,anika@example.com,"City, Historical",Female,1,1
4,358,959,3,Incredible monument!,Jaipur City,Rajasthan,City,7.738761292909418,Oct-Mar,Ritvik,ritvik@example.com,"Nature, Adventure",Male,1,1
5,989,353,2,Loved the beaches!,Kerala Backwaters,Kerala,Nature,8.208087955185452,Sep-Mar,Isha,isha@example.com,"Nature, Adventure",Female,2,0
6,473,408,4,A historical wonder,Jaipur City,Rajasthan,City,8.138557734045776,Oct-Mar,Ishaan,ishaan@example.com,"City, Historical",Male,2,0
7,977,735,3,Incredible monument!,Goa Beaches,Goa,Beach,8.499576395856343,Nov-Mar,Riya,riya@example.com,"City, Historical",Female,1,0
8,865,664,1,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,8.989187748130234,Apr-Jun,Saanvi,saanvi@example.com,"Beaches, Historical",Female,2,1
9,698,330,2,A historical wonder,Jaipur City,Rajasthan,City,8.305889899010864,Oct-Mar,Aanya,aanya@example.com,"City, Historical",Female,2,1
10,919,109,5,Incredible monument!,Kerala Backwaters,Kerala,Nature,9.252136618345416,Sep-Mar,Meera,meera@example.com,"Beaches, Historical",Female,2,0
11,253,386,4,Loved the beaches!,Jaipur City,Rajasthan,City,8.125034098865065,Oct-Mar,Hitesh,hitesh@example.com,"Nature, Adventure",Male,2,0
12,305,813,2,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.111872493591813,Apr-Jun,Aditya,aditya@example.com,"City, Historical",Male,1,2
13,148,766,4,Incredible monument!,Jaipur City,Rajasthan,City,7.69274109154765,Oct-Mar,Pooja,pooja@example.com,"Beaches, Historical",Female,1,0
14,300,626,1,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,7.799198881540521,Apr-Jun,Rohan,rohan@example.com,"Nature, Adventure",Male,2,0
15,75,403,5,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.051674304536373,Apr-Jun,Rohan,rohan@example.com,"Beaches, Historical",Male,1,1
16,434,20,4,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.707253748746416,Sep-Mar,Meera,meera@example.com,"Nature, Adventure",Female,2,0
17,416,554,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.327014780224204,Nov-Feb,Kavya,kavya@example.com,"Nature, Adventure",Female,1,2
18,379,910,5,A historical wonder,Kerala Backwaters,Kerala,Nature,7.710901822596214,Sep-Mar,Arjun,arjun@example.com,"Beaches, Historical",Male,2,2
19,849,69,1,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.749274375887886,Sep-Mar,Arjun,arjun@example.com,"City, Historical",Male,1,0
20,393,167,5,Loved the beaches!,Jaipur City,Rajasthan,City,8.429521721872453,Oct-Mar,Vivaan,vivaan@example.com,"Nature, Adventure",Male,1,2
21,422,935,1,A historical wonder,Goa Beaches,Goa,Beach,7.9629327439636866,Nov-Mar,Anika,anika@example.com,"Nature, Adventure",Female,1,0
22,971,770,5,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.372423129319028,Nov-Feb,Diya,diya@example.com,"Nature, Adventure",Female,2,1
23,846,371,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.971338259095013,Nov-Feb,Ritvik,ritvik@example.com,"Nature, Adventure",Male,2,0
24,512,30,4,A historical wonder,Goa Beaches,Goa,Beach,9.222486404593646,Nov-Mar,Riya,riya@example.com,"City, Historical",Female,1,1
25,195,842,1,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,9.09297245471366,Apr-Jun,Ishaan,ishaan@example.com,"Nature, Adventure",Male,2,0
26,966,591,5,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,9.140527124056437,Nov-Feb,Hitesh,hitesh@example.com,"City, Historical",Male,1,1
27,674,454,5,A historical wonder,Kerala Backwaters,Kerala,Nature,8.000500722385876,Sep-Mar,Hitesh,hitesh@example.com,"Beaches, Historical",Male,2,0
28,56,982,2,Incredible monument!,Taj Mahal,Uttar Pradesh,Historical,8.77933917498307,Nov-Feb,Meera,meera@example.com,"Beaches, Historical",Female,2,2
29,117,796,4,Loved the beaches!,Goa Beaches,Goa,Beach,9.21979801445382,Nov-Mar,Aanya,aanya@example.com,"Beaches, Historical",Female,1,0
30,160,356,1,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.0366846404497,Apr-Jun,Ishaan,ishaan@example.com,"Nature, Adventure",Male,1,1
31,564,513,1,Incredible monument!,Kerala Backwaters,Kerala,Nature,8.870130228380821,Sep-Mar,Vivaan,vivaan@example.com,"City, Historical",Male,1,2
32,56,322,3,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.77933917498307,Nov-Feb,Aanya,aanya@example.com,"Beaches, Historical",Female,2,0
33,515,332,4,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,9.481318666573411,Apr-Jun,Riya,riya@example.com,"Nature, Adventure",Female,2,1
34,780,979,4,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,9.291685937704914,Apr-Jun,Rohan,rohan@example.com,"Beaches, Historical",Male,1,2
35,382,637,1,Loved the beaches!,Goa Beaches,Goa,Beach,8.487140997084705,Nov-Mar,Ishaan,ishaan@example.com,"Beaches, Historical",Male,1,0
36,24,872,3,A historical wonder,Kerala Backwaters,Kerala,Nature,9.182423104129008,Sep-Mar,Hitesh,hitesh@example.com,"Nature, Adventure",Male,1,1
37,390,560,2,Incredible monument!,Leh Ladakh,Jammu and Kashmir,Adventure,8.854728503825909,Apr-Jun,Tanvi,tanvi@example.com,"Nature, Adventure",Female,1,1
38,204,551,3,Loved the beaches!,Kerala Backwaters,Kerala,Nature,7.96348370355229,Sep-Mar,Dhruv,dhruv@example.com,"Nature, Adventure",Male,2,2
